question,option1,option2,option3,option4,answer
What is the capital of India?,Delhi,Mumbai,Kolkata,Chennai,Delhi
Which language is used in Streamlit?,Java,Python,C++,PHP,Python
2 + 2 = ?,3,4,5,6,4
Which planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,Mars
How many days are there in a week?,5,6,7,8,7
Which is the largest ocean in the world?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,Pacific Ocean
What is the national animal of India?,Lion,Tiger,Elephant,Leopard,Tiger
Which device is used to point and click on a computer screen?,Keyboard,Monitor,Mouse,Printer,Mouse
How many continents are there in the world?,5,6,7,8,7
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,Carbon Dioxide
What is the full form of CPU?,Central Process Unit,Central Processing Unit,Computer Processing Unit,Central Program Unit,Central Processing Unit
Which festival is known as the Festival of Lights?,Holi,Eid,Diwali,Christmas,Diwali
What is the boiling point of water at sea level?,50°C,75°C,100°C,125°C,100°C
Which is the smallest prime number?,0,1,2,3,2
Who wrote the Indian National Anthem?,Rabindranath Tagore,Mahatma Gandhi,Subhas Chandra Bose,Jawaharlal Nehru,Rabindranath Tagore
Which part of the computer is considered the brain?,Monitor,CPU,Keyboard,RAM,CPU
How many hours are there in a day?,12,18,24,36,24
Which country is famous for the Eiffel Tower?,Italy,Germany,France,Spain,France
What does WWW stand for?,World Wide Web,World Web Wide,Web World Wide,Wide World Web,World Wide Web
Which is the largest mammal in the world?,Elephant,Giraffe,Blue Whale,Hippopotamus,Blue Whale
